Time,Current,Voltage,Temperature
0,2.1587039,2.9996068,26.384377
1,2.2876738,2.9994066,26.227879
2,2.2282798,2.9997571,26.449251
2.99999237060547,2.2248857,2.9998572,26.277494
4,2.1349463,2.9999576,26.380539
5,2.148522,2.9994066,26.254581
6,2.1468252,2.9995568,26.262211
7,2.0789463,2.9994066,26.418709
8,2.0670674,2.9994066,26.380539
9,2.0789463,2.9995568,26.143908
10,2.0925222,2.9995568,26.193523
11.0000076293945,2.1128855,2.9992561,26.327108
11.9999923706055,2.0670674,2.999707,26.262211
13,-19.932451,3.1003382,26.17824
14,-20.000328,3.1121094,26.26605
15,-19.981662,3.121376,26.37291
16,-19.920572,3.1294405,26.285124
17,-19.971482,3.1372046,26.330923
17.9999923706055,-19.969783,3.1439166,26.350021
19,-19.995238,3.1503782,26.235508
20.0000076293945,-20.007117,3.1566896,26.231693
21,-19.927359,3.1622496,26.17824
22,-19.95451,3.1679599,26.159166
23,-19.973178,3.1731193,26.185894
24,-19.934148,3.178529,26.277494
25,-19.979967,3.1831872,26.220226
26.0000076293945,-19.991846,3.1878958,26.17824
26.9999923706055,-19.985057,3.1927044,26.258396
28,-19.968086,3.1967118,26.361465
29,-19.959602,3.2011697,26.231693
30,-19.956207,3.2057281,25.865269
31,-19.969783,3.2098353,26.212597
32,-19.991846,3.2137926,26.220226
33,-19.976572,3.2180502,26.155352
34,-19.935844,3.2218571,26.056099
35.0000076293945,-19.94942,3.2260144,26.182055
35.9999923706055,-19.935844,3.2295208,26.075195
37,-20.025783,3.2331274,26.26605
38,-19.974873,3.2367837,26.098083
39,-19.969783,3.2400899,26.07901
40,-19.906996,3.2436461,26.094269
41,-19.939238,3.2472527,26.113367
41.9999923706055,-19.917178,3.2506588,25.979757
43,-19.951117,3.2539649,26.063751
44.0000076293945,-19.947725,3.25687,26.155352
45,-19.932451,3.2603762,25.964499
46,-19.940936,3.2633817,26.033211
47,-19.951117,3.2668381,26.14007
48,-19.97827,3.2697432,26.056099
49,-19.912086,3.2727988,26.17061
50.0000076293945,-20.003723,3.2754035,26.239323
50.9999923706055,-19.942631,3.2785089,25.991224
52,-19.951117,3.2809634,26.27368
53,-19.944328,3.284019,26.006483
54,-19.968086,3.286824,26.120996
55,-19.959602,3.289629,26.17824
56,-19.95451,3.2919831,25.975943
57,-19.95451,3.2949886,26.014112
58,-19.935844,3.2974432,25.861429
59.0000076293945,-19.990146,3.300148,26.101898
60,-19.910389,3.3028529,25.968313
61,-20.00542,3.3051069,25.995039
62,-19.947725,3.308012,25.983572
63,-19.97827,3.3105166,25.960684
64,-19.95451,3.3129711,25.995039
65,-19.903602,3.3152251,26.059914
65.9999923706055,-19.964693,3.31793,25.995039
67,-19.974873,3.319633,25.972128
68,-19.929055,3.3223379,25.941586
69,-19.969783,3.3245418,26.071381
